,tissue,tissue_confi
SRR898378,BRAIN,1.0
ERR532600,PROSTATE,1.0
SRR1596221,BONE MARROW,0.9896334
SRR897445,LIVER,0.55042255
SRR897801,LIVER,0.56766665
SRR959594,BRAIN,0.996848
SRR1191914,BRAIN,0.9076786
ERR649019,ESOPHAGUS,0.99206895
SRR926693,LIVER,1.0
SRR633561,BREAST,0.9586366
ERR649057,ESOPHAGUS,0.99999917
SRR898196,BRAIN,1.0
SRR1046797,LUNG,0.95296097
SRR897676,BRAIN,1.0
SRR896665,LIVER,0.80188435
SRR897264,BRAIN,1.0
SRR896837,BRAIN,1.0
SRR633596,BREAST,0.97800505
SRR063981,BRAIN,1.0
SRR898389,BRAIN,1.0
SRR650172,PROSTATE,0.7570108
SRR826664,PANCREAS,0.9999676
SRR1193405,BRAIN,0.9332911
SRR897461,LIVER,0.6596222
SRR1201690,BRAIN,0.52475923
SRR897991,BRAIN,1.0
SRR645162,LUNG,0.9562771
SRR2087206,STOMACH,0.88037777
SRR1202565,LUNG,0.2935454
SRR897854,LIVER,0.55653906
SRR091695,BONE MARROW,0.9999286
SRR898367,BRAIN,1.0
ERR833239,OTHER,1.0
SRR898369,BRAIN,1.0
SRR1213743,OTHER,1.0
SRR898000,BRAIN,1.0
SRR896682,LIVER,0.6930116
SRR898127,LIVER,0.651873
SRR898394,BRAIN,1.0
ERR519496,ESOPHAGUS,1.0
SRR898176,BRAIN,1.0
SRR633604,BREAST,0.8812088
ERR030869,OTHER,0.9558779
SRR542374,BREAST,0.9995407
SRR898249,LIVER,0.5260412
SRR897691,BRAIN,1.0
SRR959687,BONE MARROW,0.41459712
SRR898279,BRAIN,0.5440211
SRR1657540,ESOPHAGUS,1.0
SRR1201786,BRAIN,0.28132093
SRR1202979,BRAIN,0.98877156
SRR898425,BRAIN,1.0
ERR030863,OTHER,0.9252464
SRR897634,BRAIN,1.0
SRR897725,BRAIN,1.0
SRR546227,STOMACH,1.0
ERR649032,ESOPHAGUS,0.99998295
SRR896876,BRAIN,1.0
SRR898175,BRAIN,1.0
SRR896880,BRAIN,1.0
SRR897639,BRAIN,1.0
SRR801425,STOMACH,0.57797927
