,ss,ss_confi
ERR532564,TISSUE,0.9999037
ERR532565,TISSUE,0.9998908
ERR532566,TISSUE,0.99756014
ERR532567,TISSUE,0.9974065
ERR532568,TISSUE,0.99750507
ERR532569,TISSUE,0.9999131
ERR532570,TISSUE,0.9999112
ERR532571,TISSUE,0.9999089
ERR532572,TISSUE,0.999125
ERR532573,TISSUE,0.99910414
ERR532574,TISSUE,0.99900234
ERR532575,TISSUE,0.99943626
ERR532579,TISSUE,0.9798848
ERR532580,TISSUE,0.97919095
ERR532581,TISSUE,0.9992752
ERR532582,TISSUE,0.9993192
ERR532583,TISSUE,0.9993189
ERR532584,TISSUE,0.9997689
ERR532585,TISSUE,0.9997651
ERR532586,TISSUE,0.9997733
ERR532587,TISSUE,0.9996153
ERR532588,TISSUE,0.9996582
ERR532589,TISSUE,0.99981785
ERR532590,TISSUE,0.99983156
ERR532591,TISSUE,0.99985254
ERR532592,TISSUE,0.99983585
ERR532439,TISSUE,0.99968755
ERR532440,TISSUE,0.9997037
ERR532441,TISSUE,0.999663
ERR532442,TISSUE,0.9999725
ERR532443,TISSUE,0.9999693
ERR532444,TISSUE,0.9999688
ERR532445,TISSUE,0.9999908
ERR532446,TISSUE,0.9999908
ERR532447,TISSUE,0.99999046
ERR532433,TISSUE,0.99994355
ERR532434,TISSUE,0.9999402
ERR532435,TISSUE,0.9999444
ERR532436,TISSUE,0.99996674
ERR532437,TISSUE,0.99996406
ERR532438,TISSUE,0.9999673
ERR532614,OTHER,0.55835253
ERR532615,OTHER,0.54815334
ERR532616,OTHER,0.54871464
SRR650205,TISSUE,0.9805745
SRR650134,TISSUE,0.9760416
SRR650135,TISSUE,0.9939755
SRR650136,TISSUE,0.9699038
SRR650137,TISSUE,0.93181694
SRR650140,TISSUE,0.9423221
SRR650141,TISSUE,0.96220034
SRR650144,TISSUE,0.95892847
SRR650147,TISSUE,0.97841454
SRR650150,TISSUE,0.96274793
SRR650153,TISSUE,0.95740473
SRR650156,TISSUE,0.99671364
SRR650159,TISSUE,0.67825776
SRR650162,TISSUE,0.8277254
SRR650168,TISSUE,0.9449254
SRR650166,TISSUE,0.9792062
SRR650167,TISSUE,0.9838155
SRR650171,TISSUE,0.98521125
SRR650165,TISSUE,0.98038197
SRR650176,TISSUE,0.8827419
SRR650180,TISSUE,0.9828512
SRR650179,TISSUE,0.9866867
SRR650181,TISSUE,0.9914299
SRR650183,TISSUE,0.9860302
SRR650184,TISSUE,0.98807514
SRR650188,TISSUE,0.99578106
SRR650191,TISSUE,0.97337234
SRR650192,TISSUE,0.9941057
SRR650195,TISSUE,0.9825076
SRR650198,TISSUE,0.969179
SRR650200,TISSUE,0.97244674
SRR650196,TISSUE,0.9235529
SRR650197,TISSUE,0.76418287
SRR650201,TISSUE,0.97461176
SRR650203,TISSUE,0.9863086
SRR650204,TISSUE,0.924403
SRR650202,TISSUE,0.9634339
SRR650130,TISSUE,0.95740604
SRR650131,TISSUE,0.9401781
SRR650132,TISSUE,0.98895407
SRR650133,TISSUE,0.9837124
SRR650138,TISSUE,0.9999406
SRR650142,TISSUE,0.99750674
SRR650145,TISSUE,0.99992037
SRR650148,TISSUE,0.99589527
SRR650151,TISSUE,0.9998161
SRR650154,TISSUE,0.9999671
SRR650157,TISSUE,0.9913424
SRR650160,TISSUE,0.86534196
SRR650163,TISSUE,0.99657214
SRR650169,TISSUE,0.9745123
SRR650172,TISSUE,0.9971379
SRR650174,TISSUE,0.9972099
SRR650178,TISSUE,0.99840957
SRR650186,TISSUE,0.9868619
SRR650189,TISSUE,0.9981734
SRR650193,TISSUE,0.98571795
SRR834560,TISSUE,0.98154336
SRR834561,TISSUE,0.6612589
SRR834562,TISSUE,0.9741966
SRR834563,TISSUE,0.5988113
SRR834564,TISSUE,0.966338
SRR834565,TISSUE,0.7527761
SRR834566,TISSUE,0.98730314
SRR834567,TISSUE,0.96748555
SRR834568,TISSUE,0.9841404
SRR834569,TISSUE,0.79192084
SRR834570,TISSUE,0.9838071
SRR834571,TISSUE,0.9472272
SRR834572,TISSUE,0.9658863
SRR834573,TISSUE,0.9566332
SRR834574,TISSUE,0.9659274
SRR834575,TISSUE,0.52246296
SRR834576,TISSUE,0.98887044
SRR834577,TISSUE,0.8911478
SRR1732018,OTHER,0.99785364
SRR1732019,OTHER,0.9989301
SRR1732020,OTHER,0.99903077
SRR1732021,OTHER,0.99921113
SRR1732022,OTHER,0.99882156
SRR1732023,OTHER,0.9986402
SRR1732024,OTHER,0.9994785
SRR1732025,OTHER,0.99891245
SRR1732026,OTHER,0.99831533
SRR1732027,OTHER,0.99870825
SRR1732028,OTHER,0.9985288
SRR1732029,OTHER,0.9991312
SRR1732030,OTHER,0.99903154
SRR1732031,OTHER,0.9986785
SRR1732032,OTHER,0.9987728
SRR1732033,OTHER,0.9977258
SRR1732034,OTHER,0.9979352
SRR1732035,OTHER,0.99867
SRR1732036,OTHER,0.9991287
SRR1732037,OTHER,0.9986688
SRR1732038,OTHER,0.9992669
SRR1732039,OTHER,0.9988592
SRR1732040,OTHER,0.9997183
SRR1732041,OTHER,0.99940985
SRR1732042,OTHER,0.99938357
SRR1732043,OTHER,0.99946654
SRR1732044,OTHER,0.99935424
SRR1732045,OTHER,0.9997519
SRR1732046,OTHER,0.9998123
SRR1732047,OTHER,0.99975884
SRR1732048,OTHER,0.99927586
SRR1732049,OTHER,0.9996685
SRR1732050,OTHER,0.9994003
SRR1732051,OTHER,0.99931526
SRR1732052,OTHER,0.9993626
SRR1732053,OTHER,0.9991301
SRR1732054,OTHER,0.99965096
SRR1732055,OTHER,0.9996158
SRR1732056,OTHER,0.99202555
SRR1732057,OTHER,0.99673593
SRR1732058,OTHER,0.9985922
SRR1732059,OTHER,0.9948217
SRR1732060,OTHER,0.9985326
SRR1732061,OTHER,0.99690723
SRR1732062,OTHER,0.99554205
SRR1732063,OTHER,0.995313
SRR1732064,OTHER,0.9982694
SRR1732065,OTHER,0.99838674
SRR1732066,OTHER,0.98935777
SRR1732067,OTHER,0.9976357
SRR1732068,OTHER,0.9976748
SRR1732069,OTHER,0.99845
SRR1732070,OTHER,0.9992882
SRR1732071,OTHER,0.9923261
SRR1732072,OTHER,0.99395055
SRR1732073,OTHER,0.99751616
SRR1732074,OTHER,0.99916923
SRR1732075,OTHER,0.9989888
SRR1732076,OTHER,0.9956907
SRR1732077,OTHER,0.9986334
SRR1732078,OTHER,0.99604875
SRR1732079,OTHER,0.9987548
SRR1732080,OTHER,0.99713576
SRR1732082,OTHER,0.9979714
SRR1732081,OTHER,0.9948145
SRR1732083,OTHER,0.9947144
SRR1732084,OTHER,0.99553025
SRR1732085,OTHER,0.9984662
SRR1732086,OTHER,0.9901786
SRR1732087,OTHER,0.9902959
SRR1732088,OTHER,0.98337346
SRR542346,TISSUE,0.9977989
SRR542347,TISSUE,0.9974826
SRR542348,TISSUE,0.9996355
SRR542349,TISSUE,0.9988691
SRR542350,TISSUE,0.99998295
SRR542351,TISSUE,0.99931526
SRR542352,TISSUE,0.99983394
SRR542353,TISSUE,0.99998283
SRR542354,TISSUE,0.9988681
SRR542355,TISSUE,0.9867469
SRR542356,TISSUE,0.9984767
SRR542357,TISSUE,0.9981085
SRR542358,TISSUE,0.9999713
SRR542359,TISSUE,0.9997734
SRR542360,TISSUE,0.99862754
SRR542361,TISSUE,0.9999651
SRR542362,TISSUE,0.999777
SRR542363,TISSUE,0.99995756
SRR542364,TISSUE,0.99996406
SRR542365,TISSUE,0.99999154
SRR542366,TISSUE,0.999987
SRR542367,TISSUE,0.9999955
SRR542368,TISSUE,0.99999875
SRR542369,TISSUE,0.9999968
SRR542370,TISSUE,0.99999493
SRR542371,TISSUE,0.99973285
SRR542372,TISSUE,0.99989164
SRR542373,TISSUE,0.99994147
SRR542374,TISSUE,0.99918556
SRR542375,TISSUE,0.9767779
SRR542376,TISSUE,0.99602526
SRR542377,TISSUE,0.9969145
SRR542378,TISSUE,0.9991087
SRR542379,TISSUE,0.9976627
SRR542380,TISSUE,0.99955446
SRR542381,TISSUE,0.99714214
SRR542382,TISSUE,0.9981739
SRR542383,TISSUE,0.9961921
SRR542384,TISSUE,0.9989557
SRR542385,TISSUE,0.99988306
SRR542386,TISSUE,0.9999706
SRR542387,TISSUE,0.9990245
SRR542388,TISSUE,0.9999927
SRR542389,TISSUE,0.9998871
SRR542390,TISSUE,0.9999474
SRR542391,TISSUE,0.99998903
SRR542392,TISSUE,0.99997234
SRR542393,TISSUE,0.9997069
SRR542394,TISSUE,0.9998622
SRR542395,TISSUE,0.9967356
SRR542396,TISSUE,0.9999083
SRR542397,TISSUE,0.99998075
SRR542398,TISSUE,0.99994105
SRR542399,TISSUE,0.99968064
SRR542400,TISSUE,0.99998295
SRR542401,TISSUE,0.9997262
SRR542402,TISSUE,0.9999021
SRR542403,TISSUE,0.99996537
SRR542404,TISSUE,0.99992085
ERR649035,TISSUE,0.9944871
ERR649053,TISSUE,0.9542197
ERR649022,TISSUE,0.97009295
ERR649026,TISSUE,0.97435534
ERR649029,TISSUE,0.9920452
ERR649030,TISSUE,0.9611583
ERR649046,TISSUE,0.8192627
ERR649049,TISSUE,0.98192596
ERR649019,TISSUE,0.9925698
ERR649043,TISSUE,0.9662614
ERR649052,TISSUE,0.9536398
ERR649066,TISSUE,0.99604875
ERR649034,TISSUE,0.9845071
ERR649058,TISSUE,0.9969369
ERR649059,TISSUE,0.98702157
ERR649062,TISSUE,0.9637052
ERR649069,TISSUE,0.9793145
ERR649072,TISSUE,0.99097854
ERR649018,TISSUE,0.97258407
ERR649063,TISSUE,0.9477787
ERR649021,TISSUE,0.9184613
ERR649023,TISSUE,0.9134717
ERR649028,TISSUE,0.99332535
ERR649031,TISSUE,0.8270518
ERR649039,TISSUE,0.9702467
ERR649050,TISSUE,0.90264785
ERR649041,TISSUE,0.9805385
ERR649033,TISSUE,0.9320755
ERR649055,TISSUE,0.9695118
ERR649037,TISSUE,0.9788127
ERR649057,TISSUE,0.92848456
ERR649060,TISSUE,0.93293
ERR649064,TISSUE,0.87339383
ERR649070,TISSUE,0.9528235
ERR649073,TISSUE,0.9188334
ERR649025,TISSUE,0.9889264
